ลำดับ,รหัสสถานบริการ,,ชื่อสถานบริการ,,ตำบล/แขวงที่ตั้ง,อำเภอ/เขตที่ตั้ง,,จังหวัดที่ตั้ง,สปสช.เขตที่ตั้ง,,สถานะการขึ้นทะเบียน,,,สังกัดหลัก,สังกัดย่อย
47,CA0038049,,คลินิกกายภาพบำบัดท่ามะกา,,ท่ามะกา,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
48,CA0038051,,คลินิกกายภาพบำบัดพนมทวน,,พนมทวน,พนมทวน,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
49,CA0038063,,ประไพผดุงครรภ์,,พังตรุ,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
50,CA0038079,,คลินิกลำทรายการพยาบาลและการผดุงครรภ์,,บ้านเก่า,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
51,CA0038080,,คลินิกตะวันการพยาบาลและการผดุงครรภ์,,ปากแพรก,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
52,CA0038097,,คลินิกบ้านรักษ์ฟัน,,บ้านใต้,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
53,CA0038050,,นิคมกายภาพบำบัดคลินิก,,ท่าเรือ,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
54,CA0038065,,กนกพรรณการพยาบาลและการผดุงครรภ์,,อุโลกสี่หมื่น,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
55,CA0038082,,คลินิกวินัยดาลัดการพยาบาลและการผดุงครรภ์,,หนองฝ้าย,เลาขวัญ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
56,CA0038090,,คลินิกทรงพลทันตแพทย์,,ท่าม่วง,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
57,CA0038091,,คลินิกยิ้มสวยทันตกรรม,,ท่าเรือ,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
58,CA0038101,,คลินิกรักษ์ฟัน,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
59,CA0038104,,ทันตแพทย์คลินิก,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
60,CA0038124,,จิรวัฒน์คลินิกเวชกรรม,,ท่าม่วง,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
61,CA0038055,,ดวงเดือนการพยาบาลและการผดุงครรภ์,,จรเข้เผือก,ด่านมะขามเตี้ย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
62,CA0038056,,คลินิกบัวดีการพยาบาลและการ1ผดุงครรภ์,,ลิ่นถิ่น,ทองผาภูมิ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
63,CA0038062,,ปาริชาติคลินิกการพยาบาลและการผดุงครรภ์,,รางสาลี่,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
64,CA0038070,,เฉลิมรัตน์การพยาบาลและการผดุงครรภ์,,บ่อพลอย,บ่อพลอย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
65,CA0038072,,พรพรรณคลินิกการพยาบาลและการผดุงครรภ์,,บ่อพลอย,บ่อพลอย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
66,CA0038085,,รัชณีวรรณการพยาบาลและผดุงครรภ์,,เลาขวัญ,เลาขวัญ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
67,CA0038059,,คลินิกจิราภรณ์การพยาบาลและการผดุงครรภ์,,หนองขาว,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
68,CA0038077,,คลินิกปิยะพรการพยาบาลและการผดุงครรภ์,,แก่งเสี้ยน,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
69,CA0038087,,คลินิกปิ่นเมืองการพยาบาลและการผดุงครรภ์,,หนองลู,สังขละบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
70,CA0038089,,คลินิกรักษ์ยิ้ม,,ด่านมะขามเตี้ย,ด่านมะขามเตี้ย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
71,CA0038123,,คลินิกแพทย์ปิ่นอภัย,,ท่าม่วง,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
72,CA0038054,,เธียรสิริวงษ์คลินิกการพยาบาลและการผดุงครรภ์,,ด่านมะขามเตี้ย,ด่านมะขามเตี้ย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
73,CA0038064,,ไวต้าคลินิกการพยาบาลและการผดุงครรภ์,,แสนตอ,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
74,CA0038067,,ล้านนาคลินิกการพยาบาลและการผดุงครรภ์,,แสนตอ,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
75,CA0038069,,พุน้อยคลินิกการพยาบาลและการผดุงครรภ์,,ลุ่มสุ่ม,ไทรโยค,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
76,CA0038071,,คลินิกไข่มุกการพยาบาลและผดุงครรภ์,,หนองกุ่ม,บ่อพลอย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
77,CA0038096,,แฟมิลี่คลินิก(ทันตแพทย์หญิงสุจิตรา),,บ้านใต้,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
78,CA0038103,,จิราภรณ์ทันตคลินิก,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
79,CA0038109,,เดอะแล็บ คลินิกเทคนิคการแพทย์,,ท่ามะขาม,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
80,CA0038122,,คลินิกหมอณรงค์,,หนองปรือ,หนองปรือ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
81,CA0038068,,สามหญิงคลินิกการพยาบาลและการผดุงครรภ์,,พระแท่น,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
82,CA0038092,,คลินิกทันตกรรมหมอศุภวรรณ,,ท่าเรือ,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
83,CA0038094,,อุไรทันตคลินิก,,ท่าเรือ,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
84,CA0038110,,กู๊ดแล็บ คลินิกเทคนิคการแพทย์,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
85,CA0038066,,จันทร์สุวรรณวุฒิคลินิกการพยาบาลและการผดุงครรภ,,พระแท่น,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
86,CA0038073,,พิมพาการพยาบาลและการผดุงครรภ์,,หลุมรัง,บ่อพลอย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
