ลำดับ,รหัสสถานบริการ,,ชื่อสถานบริการ,,ตำบล/แขวงที่ตั้ง,อำเภอ/เขตที่ตั้ง,,จังหวัดที่ตั้ง,สปสช.เขตที่ตั้ง,,สถานะการขึ้นทะเบียน,,,สังกัดหลัก,สังกัดย่อย
325,GA0008023,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านวังปลาหมู ตำบลหนองหญ้า,,หนองหญ้า,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
326,GA0008040,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแก่งระเบิด ตำบลวังกระแจะ,,วังกระแจะ,ไทรโยค,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
327,GA0008041,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านทุ่งเรือโกลน ตำบลศรีมงคล,,ศรีมงคล,ไทรโยค,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
328,GA0008042,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านบ้องตี้ ตำบลบ้องตี้,,บ้องตี้,ไทรโยค,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
329,GA0008047,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านลำอีซู ตำบลหนองรี,,หนองรี,บ่อพลอย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
330,GA0008048,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหลังเขา ตำบลหนองกร่าง,,หนองกร่าง,บ่อพลอย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
331,GA0008043,,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองกระทุ่ม ตำบลหนองกุ่ม,,หนองกุ่ม,บ่อพลอย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
332,GA0008051,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหลุมรัง ตำบลหลุมรัง,,หลุมรัง,บ่อพลอย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
333,GA0008053,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านปลายนาสวน ตำบลนาสวน,,นาสวน,ศรีสวัสดิ์,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
334,GA0008084,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านตลาดสำรอง ตำบลพังตรุ,,พังตรุ,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
335,GA0008088,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองตากยา ตำบลหนองตากยา,,หนองตากยา,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
336,GA0008089,,โรงพยาบาลส่งเสริมสุขภาพตำบลนพกิจโกศล ตำบลหนองตากยา,,หนองตากยา,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
337,GA0008097,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกุยแหย่ ตำบลลิ่นถิ่น,,ลิ่นถิ่น,ทองผาภูมิ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
338,GA0008082,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านม่วงชุม ตำบลม่วงชุม,,ม่วงชุม,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
339,GA0008086,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท่าตะคร้อ ตำบลท่าตะคร้อ,,ท่าตะคร้อ,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
340,GA0008090,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านปรังกาสี ตำบลท่าขนุน,,ท่าขนุน,ทองผาภูมิ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
341,GA0008093,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสหกรณ์นิคม ตำบลสหกรณ์นิคม,,สหกรณ์นิคม,ทองผาภูมิ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
342,GA0008099,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเกริงกระเวีย ตำบลชะแล,,ชะแล,ทองผาภูมิ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
343,GA0008109,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองโพธิ์ ตำบลดอนตาเพชร,,ดอนตาเพชร,พนมทวน,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
344,GA0008111,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านทุ่งสมอ ตำบลทุ่งสมอ,,ทุ่งสมอ,พนมทวน,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
345,GA0008112,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านดอนเจดีย์ ตำบลดอนเจดีย์,,ดอนเจดีย์,พนมทวน,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
346,GA0008113,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเบญพาด,,พังตรุ,พนมทวน,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
347,GA0008114,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านบ่อระแหง ตำบลพังตรุ,,พังตรุ,พนมทวน,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
348,GA0008115,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโคราช ตำบลรางหวาย,,รางหวาย,พนมทวน,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
349,GA0008116,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านตลาดเขต ตำบลรางหวาย,,รางหวาย,พนมทวน,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
350,GA0008117,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสระลุมพุก  ตำบลหนองสาหร่าย,,หนองสาหร่าย,พนมทวน,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
351,GA0008119,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองโสน ตำบลหนองโสน,,หนองโสน,เลาขวัญ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
352,GA0008123,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองประดู่ ตำบลหนองประดู่,,หนองประดู่,เลาขวัญ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
353,GA0008128,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองเค็ด ตำบลหนองนกแก้ว,,หนองนกแก้ว,เลาขวัญ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
354,GA0008134,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท่าโป่ง ตำบลจรเข้เผือก,,จรเข้เผือก,ด่านมะขามเตี้ย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
355,GA0008139,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองขอน ตำบลหนองปรือ,,หนองปรือ,หนองปรือ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
356,GA0008143,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองปลาไหล ตำบลหนองปลาไหล,,หนองปลาไหล,หนองปรือ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
357,GA0008149,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองปลิง  ตำบลดอนแสลบ,,ดอนแสลบ,ห้วยกระเจา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
358,GA0008075,,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองลาน,,หนองลาน,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
359,GA0008037,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านพุเตย ตำบลท่าเสา,,ท่าเสา,ไทรโยค,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
360,GA0008038,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท่ากิเลน ตำบลสิงห์,,สิงห์,ไทรโยค,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
361,GA0008072,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแสนตอ ตำบลแสนตอ,,แสนตอ,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
362,GA0008133,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านดอนสว่าง ตำบลกลอนโด,,กลอนโด,ด่านมะขามเตี้ย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
363,GA0008102,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านห้วยเขย่ง ตำบลห้วยเขย่ง,,ห้วยเขย่ง,ทองผาภูมิ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
364,GA0014869,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองสองตอน ตำบลแก่งเสี้ยน,,แก่งเสี้ยน,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
365,GA0015020,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านน้ำมุด ตำบลแม่กระบุง,,แม่กระบุง,ศรีสวัสดิ์,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
366,GA0008110,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหลุมหิน ตำบลหนองโรง,,หนองโรง,พนมทวน,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
367,GA0008147,,โรงพยาบาลส่งเสริมสุขภาพตำบลวังไผ่,,วังไผ่,ห้วยกระเจา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
368,GA0008068,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านอุโลกสี่หมื่น ตำบลอุโลกสี่หมื่น,,อุโลกสี่หมื่น,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
369,GA0008069,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเขาช่อง ตำบลเขาสามสิบหาบ,,เขาสามสิบหาบ,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
370,CA0028775,,คลินิกหมอปนัดดา,,ดอนขมิ้น,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
371,CA0044622,,อัมพาคลินิกการพยาบาลและผดุงครรภ์,,หนองขาว,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
372,CA0044683,,ไนติงเกลคลินิกการพยาบาลและการผดุงครรภ์,,ท่ามะขาม,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
373,CA0044699,,พร้อมสุขคลินิกเวชกรรม,,ท่ามะกา,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
374,CA0044719,,คลินิกหนองหญ้าการพยาบาลและการผดุงครรภ์,,หนองหญ้า,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
375,CA0044791,,คลินิกเพ็ญการพยาบาลและการผดุงครรภ์,,หนองประดู่,เลาขวัญ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
376,CA0044828,,ชมภู่คลินิกการพยาบาลและการผดุงครรภ์,,ท่ามะกา,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
377,CA0044836,,คลินิกเฉพาะทางด้านทันตกรรมจัดฟันหมอรุ่งกานต์,,ท่าล้อ,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
378,CA0044869,,แคร์ดีคลินิกการพยาบาลและการผดุงครรภ์,,ปากแพรก,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
379,CA0044873,,คลินิกทันตกรรมลาดหญ้า,,ลาดหญ้า,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
380,CA0044895,,อุ่นใจคลินิกการพยาบาลและการผดุงครรภ์,,นาสวน,ศรีสวัสดิ์,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
381,CA0044940,,ปากแพรกคลินิกการพยาบาลและการผดุงครรภ์,,ปากแพรก,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
382,CA0045027,,ทุ่งทองคลินิกการพยาบาลและการผดุงครรภ์,,ทุ่งทอง,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
383,CA0045035,,ลาดหญ้าคลินิกการพยาบาลและการผดุงครรภ์,,ลาดหญ้า,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
384,CA0045037,,รวมใจคลินิกการพยาบาลและการผดุงครรภ์,,ท่าล้อ,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
385,CA0045094,,คลินิกบ้านเก่าการพยาบาลและการผดุงครรภ์,,บ้านเก่า,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
386,CA0045511,,เจ แคร์ คลินิกการพยาบาลและการผดุงครรภ์,,รางหวาย,พนมทวน,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
387,CA0046937,,สวรสคลินิกการพยาบาลและการผดุงครรภ์,,หนองบัว,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
388,CA0047023,,บ้านใหม่คลินิกการพยาบาลและการผดุงครรภ์,,บ้านใหม่,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
389,CA0047090,,วิภาดาคลินิกการพยาบาลและการผดุงครรภ์,,แสนตอ,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
390,CA0047156,,วรรณาคลินิกการพยาบาลและการผดุงครรภ์,,ดอนชะเอม,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
391,CA0047544,,บุณฑิตาคลินิกการพยาบาลและการผดุงครรภ์,,อุโลกสี่หมื่น,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
392,CA0048027,,จารุณีคลินิกการพยาบาลและการผดุงครรภ์,,หนองกร่าง,บ่อพลอย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
393,CA0048122,,อุ่นไอรักษ์คลินิกการพยาบาลและการผดุงครรภ์,,พังตรุ,พนมทวน,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
394,CA0048354,,วัลลภาคลินิกการพยาบาลและการผดุงครรภ์,,ลิ่นถิ่น,ทองผาภูมิ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
395,CA0048378,,แทนใจคลินิกการพยาบาลและการผดุงครรภ์,,รางสาลี่,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
396,CA0048472,,ท่ามะกาแล็บคลินิกเทคนิคการแพทย์,,ท่ามะกา,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
397,CA0048486,,นิศากรคลินิกการพยาบาลและการผดุงครรภ์,,หนองปลาไหล,หนองปรือ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
398,CA0048500,,ชลิตตาคลินิกการพยาบาลและการผดุงครรภ์,,หนองปรือ,หนองปรือ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
399,CA0048501,,อรอนงค์คลินิกการพยาบาลและการผดุงครรภ์,,สมเด็จเจริญ,หนองปรือ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
400,CA0048632,,รักษ์กาญจน์คลินิกเวชกรรม,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
401,CA0048645,,บ้านพยาบาลคลินิกการพยาบาลและการผดุงครรภ์ สาขา 2,,เกาะสำโรง,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
402,CA0048677,,คลินิกทันตกรรมสบายสไมล์,,ท่าเรือ,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
403,CA0049037,,มณีคลินิกการพยาบาลและการผดุงครรภ์,,ลุ่มสุ่ม,ไทรโยค,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
404,CA0049053,,ทุ่งคูคลินิกการพยาบาลและการผดุงครรภ์,,หนองขาว,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
405,CA0049115,,ทิพวรรณคลินิกการพยาบาลและการผดุงครรภ์,,วังด้ง,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
406,CA0049188,,วันใหม่คลินิกการพยาบาลและการผดุงครรภ์,,ท่าเสา,ไทรโยค,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
407,CA0049252,,คลินิกเวชกรรมเฉพาะทางอายุรกรรมโรคไตหมอนุจจรินทร์,,ท่ามะกา,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
408,CA0049466,,เกรซคลินิกการพยาบาลและการผดุงครรภ์,,ท่ามะขาม,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
409,CA0049644,,คลินิกกายภาพบำบัด บ้านคุณสุ,,ท่าล้อ,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
410,CA0049710,,เจริญวดีคลินิกการพยาบาลและการผดุงครรภ์,,ท่าม่วง,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
411,CA0049718,,ปัญจะคลินิกการพยาบาลและการผดุงครรภ์,,แม่กระบุง,ศรีสวัสดิ์,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
412,CA0049732,,ขวัญฤทัยคลินิกการพยาบาลและการผดุงครรภ์,,ท่ามะขาม,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
413,CA0049973,,เบญจมาศคลินิกการพยาบาลและการผดุงครรภ์,,หนองกร่าง,บ่อพลอย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
414,CA0051081,,สระเศรษฐีคลินิกการพยาบาลและการผดุงครรภ์,,บ้านใหม่,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
415,CA0051129,,เมืองกาญจน์คลินิกกายภาพบำบัด,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
416,CA0051271,,คลินิกทันตกรรมบ้าน ฟ ฟัน,,บ่อพลอย,บ่อพลอย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
417,CA0051288,,ยุพินคลินิกการพยาบาลและการผดุงครรภ์,,วังไผ่,ห้วยกระเจา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
418,CA0051540,,ปัทมาคลินิกการพยาบาลและการผดุงครรภ์,,หลุมรัง,บ่อพลอย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
419,CA0051630,,สมทรงคลินิกการพยาบาลและการผดุงครรภ์,,หนองตากยา,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
420,CA0051685,,เวชกาญคลินิกการแพทย์แผนไทยประยุกต์,,ปากแพรก,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
421,CA0051741,,คลินิกเวชกรรมไตเทียมท่าม่วง,,ท่าม่วง,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
422,CA0051833,,จันทร์เพ็ญคลินิกการพยาบาลและการผดุงครรภ์,,หนองปลิง,เลาขวัญ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
423,CA0051997,,รางหวายคลินิกการพยาบาลและการผดุงครรภ์,,รางหวาย,พนมทวน,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
424,CA0052231,,คลินิกทันตกรรมอิมเพรส,,ท่าเรือ,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
425,CA0052987,,ภัทรณิชาช์คลินิกการพยาบาลและการผดุงครรภ์,,ท่าไม้,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
426,CA0053077,,มัลลิกาคลินิกการพยาบาลและการผดุงครรภ์,,สิงห์,ไทรโยค,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
427,GA0077423,,หน่วยบริการปฐมภูมิโรงพยาบาลไทรโยค สาขา1,,ลุ่มสุ่ม,ไทรโยค,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์สุขภาพชุมชน ของ รพ. / เมือง (ศสม.)
428,CA0053275,,แสนรักษ์คลินิกการพยาบาลและการผดุงครรภ์,,สิงห์,ไทรโยค,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
429,CA0053351,,เพ็ญศิริคลินิกการพยาบาลและการผดุงครรภ์,,ท่าเสา,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
430,CA0053390,,วังขนายคลินิกการพยาบาลและการผดุงครรภ์,,วังขนาย,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
